epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.7586855580435858,1.429293412590027,33.28666666666667,46.24
2,1.3657884600745307,1.2651485935211182,49.84222222222222,53.8
3,1.1735897444407146,1.105540608024597,57.76888888888889,59.36
4,1.0333355545891656,0.9902449281692505,63.44222222222222,63.7
5,0.9399116319656372,0.9885245710372925,66.79555555555555,64.5
6,0.8542095266977946,0.8179162574768066,70.02666666666667,71.66
7,0.788114652856191,0.7849829834938049,72.83555555555556,73.3
8,0.7357175719579061,0.723220850276947,74.47111111111111,74.76
9,0.6913801957448323,0.6934141355514526,76.23333333333333,76.58
10,0.6650220364464654,0.6883869371414184,77.25111111111111,76.7
11,0.5219917859925164,0.5857704521179199,81.93555555555555,80.18
12,0.49630004260804916,0.5818063926696777,82.93111111111111,80.32
13,0.48311591947343613,0.5794437531709671,83.25111111111111,80.58
14,0.4704757540596856,0.5587073308944702,83.78222222222222,80.48
15,0.4644442840417226,0.5644121665000915,83.92444444444445,80.58
