,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,902,9,24,8,5,3,3,5,26,15
automobile,8,946,0,1,1,1,1,0,7,35
bird,40,2,808,18,37,38,37,10,6,4
cat,13,6,40,686,40,130,39,26,11,9
deer,9,1,42,29,852,13,26,23,4,1
dog,7,1,15,92,30,813,10,25,5,2
frog,6,1,18,24,12,11,921,5,1,1
horse,12,3,7,19,25,21,1,906,0,6
ship,37,12,0,5,0,1,2,2,935,6
truck,12,30,2,1,1,2,2,0,23,927
