epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.495561277686225,1.4880447471618652,45.077777777777776,48.72
2,1.0757553742832608,1.0812909191131592,61.46,61.08
3,0.8909569251908196,0.7810621406555176,68.68666666666667,72.24
4,0.79445244796541,0.7463354606628418,72.22444444444444,74.04
5,0.7225717472606235,0.6485851903915405,75.08444444444444,78.28
6,0.6716702047771878,0.6629934921264649,76.73777777777778,76.56
7,0.6311998528904385,0.5790558632850646,78.23555555555555,80.3
8,0.593394961558448,0.576562251663208,79.5111111111111,79.52
9,0.5679108531634013,0.5151448473930359,80.38666666666667,82.3
10,0.5472318065855238,0.5219433332443237,81.10222222222222,81.24
11,0.4429950217035082,0.41521397933959964,84.71111111111111,85.5
12,0.41536069417529636,0.3929897986412048,85.63777777777777,85.88
13,0.39992597426308524,0.3967463373303413,86.19333333333333,86.04
14,0.3887681743515862,0.3943973317861557,86.46888888888888,86.3
15,0.38206972885131835,0.38781853635311125,86.71333333333334,86.34
