,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,834,18,25,14,13,7,10,6,41,32
automobile,9,864,5,8,2,3,7,5,21,76
bird,46,3,715,61,51,47,46,17,5,9
cat,17,7,59,608,36,177,53,27,7,9
deer,17,3,59,53,745,35,27,51,4,6
dog,15,1,35,162,32,689,19,37,5,5
frog,5,6,35,50,19,34,836,4,4,7
horse,14,3,21,45,31,58,8,809,2,9
ship,44,24,22,10,6,8,7,3,856,20
truck,25,61,5,17,2,7,3,6,18,856
