epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,1.7673188727908664,2.3049111827850344,33.84888888888889,10.54
2,1.4647973750432333,1.8691323333740235,46.32222222222222,40.62
3,1.34568366355896,1.4959744548797607,51.36222222222222,47.6
4,1.26318929432763,1.3804711347579957,54.38444444444445,52.26
5,1.198314394039578,1.319039828300476,56.88,52.4
6,1.1434122271643745,1.2661911546707154,59.126666666666665,55.82
7,1.097651279089186,1.1763946038246156,60.733333333333334,58.12
8,1.0564363295025296,1.2087510358810425,62.193333333333335,57.14
9,1.0214737901157802,1.1590592546463012,63.693333333333335,58.52
10,0.9959040867063734,1.1372974781036378,64.32888888888888,58.42
11,0.8703827586491902,1.0502567596435546,69.19333333333333,62.66
12,0.8358611452208625,1.0491751531600952,70.35555555555555,63.3
13,0.8230978832244873,1.0537939022064209,70.60888888888888,63.64
14,0.8107619235462613,1.0571182227134706,71.18,63.56
15,0.8074489686012268,1.0580390296936035,71.22444444444444,63.32
