,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,692,29,64,17,13,6,15,14,117,33
automobile,35,750,7,12,8,4,7,14,45,118
bird,75,8,525,70,125,57,78,28,21,13
cat,21,21,90,445,77,161,89,45,28,23
deer,26,8,97,46,607,30,68,97,16,5
dog,11,6,75,222,64,484,35,84,13,6
frog,6,7,66,54,84,22,726,15,7,13
horse,33,5,39,55,78,72,18,668,7,25
ship,77,31,17,19,19,8,2,5,801,21
truck,44,166,13,25,8,6,10,30,56,642
