,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,689,29,67,23,27,5,14,9,105,32
automobile,38,743,11,15,3,5,9,6,43,127
bird,67,7,535,75,116,64,59,51,13,13
cat,22,14,82,486,86,165,65,39,16,25
deer,38,7,95,58,581,39,58,100,19,5
dog,11,5,75,245,61,469,33,79,12,10
frog,14,7,61,73,83,23,705,15,10,9
horse,25,14,32,54,91,80,13,664,6,21
ship,78,64,20,21,12,8,8,5,755,29
truck,45,148,15,22,5,5,9,26,53,672
